Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),105000,3,249,2018,3990000,чёрный,автомат,полный,Дизель,Воронеж
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),55000,2,190,2018,4500000,синий,механика,задний,Дизель,Санкт-Петербург
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),48000,3,265,2019,4100000,чёрный,автомат,полный,Дизель,Белгород
"Mercedes-Benz E-Класс 300 de V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 de V (W213, S213, C238)",101000,2,194,2016,2630000,чёрный,автомат,задний,Гибрид,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",133000,2,184,2018,2900000,чёрный,автомат,полный,Бензин,Подольск
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),97000,3,265,2018,4200000,серый,автомат,полный,Дизель,Балашиха
BMW 5 серии 530d VII (G30/G31),BMW,5 серии 530d VII (G30/G31),101000,3,265,2017,2930000,чёрный,автомат,задний,Дизель,Нижний Новгород
BMW 3 серии 320i VII (G2x),BMW,3 серии 320i VII (G2x),45000,2,184,2019,3540000,чёрный,автомат,задний,Бензин,Сочи
BMW 5 серии 520i VII (G30/G31),BMW,5 серии 520i VII (G30/G31),56000,2,184,2018,4200000,чёрный,автомат,задний,Бензин,Сочи
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),177000,2,249,2017,2750000,чёрный,автомат,полный,Бензин,Екатеринбург
"Mercedes-Benz E-Класс 400 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 d V (W213, S213, C238)",79000,"2,9",340,2016,3750000,чёрный,автомат,полный,Дизель,Москва
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),230000,2,190,2019,2300000,чёрный,механика,задний,Дизель,Москва
Audi A6 55 TFSI V (C8),Audi,A6 55 TFSI V (C8),54000,3,340,2019,5260000,серый,робот,полный,Бензин,Санкт-Петербург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",161000,2,184,2016,2100000,чёрный,автомат,задний,Бензин,Владивосток
"Mercedes-Benz E-Класс All-Terrain 350 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс All-Terrain 350 d V (W213, S213, C238)",38000,3,258,2017,5700000,коричневый,автомат,полный,Дизель,Москва
"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 220 d V (W213, S213, C238)",179000,2,194,2017,3010000,серый,автомат,полный,Дизель,Москва
Mercedes-Benz S-Класс 450 Long VII (W223),Mercedes-Benz,S-Класс 450 Long VII (W223),54000,3,367,2021,12800000,чёрный,автомат,полный,Бензин,Миллениум парк
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",202000,2,197,2016,1920000,чёрный,автомат,задний,Бензин,Санкт-Петербург
Audi A4 V (B9),Audi,A4 V (B9),119000,2,249,2017,2830000,коричневый,робот,полный,Бензин,Дзержинск
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",76000,2,184,2018,4250000,белый,автомат,полный,Бензин,Москва
Audi A4 V (B9),Audi,A4 V (B9),170000,"1,4",150,2016,2000000,чёрный,механика,передний,Бензин,Санкт-Петербург
Mercedes-Benz S-Класс 450 Long VII (W223),Mercedes-Benz,S-Класс 450 Long VII (W223),26000,3,367,2021,17170000,чёрный,автомат,полный,Бензин,Самара
Audi A4 ultra V (B9),Audi,A4 ultra V (B9),24000,2,190,2019,2330000,серый,механика,передний,Дизель,Мозырь
Audi A4 ultra V (B9),Audi,A4 ultra V (B9),34000,2,150,2019,2250000,белый,робот,передний,Дизель,Минск
