Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
Hyundai Solaris II,Hyundai,Solaris II,121000,"1,6",123,2017,1050000,чёрный,автомат,передний,Бензин,Челябинск
Hyundai Solaris II,Hyundai,Solaris II,106000,"1,4",100,2019,1320000,красный,автомат,передний,Бензин,Москва
Hyundai Elantra VII (CN7),Hyundai,Elantra VII (CN7),12000,"1,6",128,2021,2320000,белый,автомат,передний,Бензин,Курск
Hyundai Solaris II,Hyundai,Solaris II,80000,"1,4",100,2020,1500000,белый,автомат,передний,Бензин,Ульяновск
Hyundai Solaris II,Hyundai,Solaris II,160000,"1,6",123,2017,1000000,белый,автомат,передний,Бензин,Санкт-Петербург
Kia Cerato IV,Kia,Cerato IV,53000,"1,6",128,2019,2550000,белый,механика,передний,Бензин,Прохладный
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,1000,"2,5",194,2022,3890000,белый,автомат,передний,Бензин,Уфа
Kia K5 III,Kia,K5 III,35000,"2,5",194,2021,2580000,чёрный,автомат,передний,Бензин,Санкт-Петербург
Kia Cerato IV,Kia,Cerato IV,35000,"1,6",128,2021,1820000,синий,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,31000,2,150,2020,2620000,белый,автомат,передний,Бензин,Звенигород
Hyundai Solaris II,Hyundai,Solaris II,88000,"1,4",100,2019,1410000,белый,автомат,передний,Бензин,Березники
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,15000,2,145,2021,3000000,белый,автомат,передний,Бензин,Ростов-на-Дону
Kia K5 III,Kia,K5 III,66000,"1,5",170,2021,2160000,белый,робот,передний,Бензин,Москва
Kia Cerato IV,Kia,Cerato IV,64000,"1,6",128,2019,1790000,серебристый,механика,передний,Бензин,Челябинск
Hyundai Solaris II,Hyundai,Solaris II,57000,"1,6",123,2019,1440000,белый,механика,передний,Бензин,Ижевск
"Mercedes-Benz CLA 220 d II (C118, X118)",Mercedes-Benz,"CLA 220 d II (C118, X118)",31000,2,190,2019,3230000,чёрный,робот,полный,Дизель,Санкт-Петербург
Hyundai Solaris II,Hyundai,Solaris II,37000,"1,4",100,2017,1060000,серый,автомат,передний,Бензин,Санкт-Петербург
Hyundai Solaris II,Hyundai,Solaris II,160000,"1,6",123,2017,1000000,белый,автомат,передний,Бензин,Санкт-Петербург
"Mercedes-Benz CLA 200 II (C118, X118)",Mercedes-Benz,"CLA 200 II (C118, X118)",47000,"1,3",150,2019,2980000,красный,робот,передний,Бензин,Невель
Kia K5 III,Kia,K5 III,48000,2,240,2020,2310000,белый,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,81000,"2,5",194,2021,2650000,серый,автомат,передний,Бензин,Смоленск
Kia K5 III,Kia,K5 III,11000,"2,5",194,2021,2910000,серый,автомат,передний,Бензин,Новосибирск
Hyundai Solaris II,Hyundai,Solaris II,160000,"1,4",100,2018,1120000,белый,автомат,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,89000,"1,6",123,2018,1230000,чёрный,механика,передний,Бензин,Ростов-на-Дону
Hyundai Solaris II,Hyundai,Solaris II,93000,"1,6",123,2017,1270000,белый,механика,передний,Бензин,Москва
"Mercedes-Benz CLA 200 II (C118, X118)",Mercedes-Benz,"CLA 200 II (C118, X118)",56000,"1,3",163,2019,3000000,белый,механика,передний,Бензин,Москва
Mazda 6 Atenza III (GJ) Рестайлинг 2,Mazda,6 Atenza III (GJ) Рестайлинг 2,111000,"2,5",192,2020,2220000,красный,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,100000,"1,6",180,2021,2330000,чёрный,автомат,полный,Бензин,Москва
Kia K5 III,Kia,K5 III,77000,"2,5",194,2021,2570000,чёрный,автомат,передний,Бензин,Ростов-на-Дону
Hyundai Solaris II,Hyundai,Solaris II,40000,"1,6",123,2018,1240000,белый,автомат,передний,Бензин,Челябинск
Kia Cerato IV,Kia,Cerato IV,90000,"1,6",128,2020,2300000,белый,автомат,передний,Бензин,Астрахань
Hyundai Elantra VII (CN7),Hyundai,Elantra VII (CN7),7000,"1,6",128,2021,2120000,белый,автомат,передний,Бензин,Екатеринбург
Kia K5 LPi III,Kia,K5 LPi III,48000,2,146,2020,2660000,синий,автомат,передний,Газ,Санкт-Петербург
Hyundai Solaris II,Hyundai,Solaris II,112000,"1,6",123,2019,1140000,белый,автомат,передний,Бензин,Владимир
Hyundai Solaris II,Hyundai,Solaris II,89000,"1,6",123,2018,1230000,чёрный,механика,передний,Бензин,Ростов-на-Дону
Kia Cerato IV,Kia,Cerato IV,50000,2,150,2020,1930000,синий,автомат,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,65000,"1,6",123,2019,1300000,коричневый,механика,передний,Бензин,Ростов-на-Дону
Hyundai Solaris II,Hyundai,Solaris II,103000,"1,4",100,2018,1270000,коричневый,механика,передний,Бензин,Ростов-на-Дону
Hyundai Solaris II,Hyundai,Solaris II,62000,"1,6",123,2019,1380000,синий,механика,передний,Бензин,Волгоград
Kia Cerato IV,Kia,Cerato IV,147000,2,150,2018,1490000,чёрный,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,67000,"2,5",194,2020,2960000,синий,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,18000,"2,5",194,2020,2900000,чёрный,автомат,передний,Бензин,Санкт-Петербург
Hyundai Solaris II,Hyundai,Solaris II,74000,"1,4",100,2018,1370000,чёрный,механика,передний,Бензин,Набережные Челны
Hyundai Solaris II,Hyundai,Solaris II,74000,"1,6",123,2018,1370000,чёрный,механика,передний,Бензин,Набережные Челны
Hyundai Solaris II,Hyundai,Solaris II,69000,"1,6",123,2017,1370000,белый,автомат,передний,Бензин,Севастополь
Kia Cerato IV,Kia,Cerato IV,101000,"1,6",128,2020,1650000,белый,автомат,передний,Бензин,Альметьевск
Hyundai Elantra VII (CN7),Hyundai,Elantra VII (CN7),7000,"1,6",128,2021,2200000,белый,автомат,передний,Бензин,Егорьевск
Hyundai Solaris II,Hyundai,Solaris II,73000,"1,6",123,2019,1500000,белый,механика,передний,Бензин,Сургут
Hyundai Solaris II,Hyundai,Solaris II,161000,"1,4",100,2017,1020000,белый,автомат,передний,Бензин,Ростов-на-Дону
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,72000,2,145,2018,2150000,коричневый,автомат,передний,Бензин,Липецк
Kia Cerato IV,Kia,Cerato IV,44000,"1,6",128,2021,1960000,белый,механика,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,63000,"1,6",123,2018,1290000,белый,механика,передний,Бензин,Санкт-Петербург
Kia K5 III,Kia,K5 III,60000,"2,5",194,2020,2480000,чёрный,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,10000,"2,5",194,2020,3710000,белый,автомат,передний,Бензин,Краснодар
Hyundai Solaris II,Hyundai,Solaris II,132000,"1,6",123,2019,1390000,серый,автомат,передний,Бензин,Тюмень
Hyundai Solaris II,Hyundai,Solaris II,97000,"1,6",123,2020,1080000,белый,автомат,передний,Бензин,Санкт-Петербург
Hyundai Solaris II,Hyundai,Solaris II,74000,"1,6",123,2018,1370000,чёрный,механика,передний,Бензин,Набережные Челны
Kia K5 III,Kia,K5 III,30000,"2,5",194,2021,3150000,синий,автомат,передний,Бензин,Набережные Челны
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,15000,"2,5",231,2021,2700000,серый,автомат,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,47000,"1,6",123,2019,1350000,белый,автомат,передний,Бензин,Заинск
Hyundai Solaris II,Hyundai,Solaris II,166000,"1,4",100,2017,900000,серый,механика,передний,Бензин,Санкт-Петербург
Kia Cerato IV,Kia,Cerato IV,86000,2,150,2018,1670000,белый,автомат,передний,Бензин,Железногорск
Hyundai Solaris II,Hyundai,Solaris II,92000,"1,4",100,2018,1330000,синий,автомат,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,48000,"1,6",123,2019,1180000,серебристый,механика,передний,Бензин,Симферополь
Hyundai Solaris II,Hyundai,Solaris II,25000,"1,4",100,2019,1470000,синий,механика,передний,Бензин,Санкт-Петербург
Kia K5 III,Kia,K5 III,45000,"2,5",194,2021,3290000,белый,автомат,передний,Бензин,Новый Уренгой
Hyundai Solaris II,Hyundai,Solaris II,74000,"1,4",100,2017,1230000,серебристый,механика,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,29000,"1,6",180,2021,2500000,белый,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,37000,"2,5",194,2021,3280000,чёрный,автомат,передний,Бензин,Набережные Челны
Hyundai Solaris II,Hyundai,Solaris II,159000,"1,4",100,2018,1120000,белый,автомат,передний,Бензин,Москва
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,83000,2,165,2019,2880000,серый,автомат,передний,Бензин,Североуральск
Kia K5 III,Kia,K5 III,1000,"2,5",194,2022,3790000,синий,автомат,передний,Бензин,Россошь
Hyundai Solaris II,Hyundai,Solaris II,78000,"1,6",123,2017,1300000,синий,автомат,передний,Бензин,Ростов-на-Дону
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,121000,"2,2",150,2018,2530000,белый,автомат,передний,Дизель,Воронеж
Kia K5 III,Kia,K5 III,30000,2,195,2020,2500000,серый,автомат,передний,Гибрид,Краснодар
Kia K5 III,Kia,K5 III,66000,"1,6",180,2021,2910000,серый,автомат,полный,Бензин,Москва
Hyundai Elantra VII (CN7),Hyundai,Elantra VII (CN7),4000,2,150,2020,2000000,синий,автомат,передний,Бензин,Ростов-на-Дону
Kia K5 LPi III,Kia,K5 LPi III,57000,2,146,2020,2580000,чёрный,автомат,передний,Газ,Москва
Hyundai Solaris II,Hyundai,Solaris II,121000,"1,6",123,2018,1050000,чёрный,автомат,передний,Бензин,Москва
Hyundai Elantra VII (CN7),Hyundai,Elantra VII (CN7),21000,"1,6",128,2021,2050000,белый,автомат,передний,Бензин,Москва
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,15000,"2,5",253,2019,2380000,чёрный,автомат,передний,Бензин,Химки
Hyundai Solaris II,Hyundai,Solaris II,59000,"1,4",100,2018,1440000,белый,механика,передний,Бензин,Санкт-Петербург
Kia K5 III,Kia,K5 III,3000,2,160,2022,3890000,белый,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,53000,"1,5",170,2020,2120000,синий,робот,передний,Бензин,Москва
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,34000,"2,5",194,2021,2780000,белый,автомат,передний,Бензин,Казань
Hyundai Solaris II,Hyundai,Solaris II,91000,"1,4",100,2018,1230000,белый,механика,передний,Бензин,Санкт-Петербург
Kia K5 III,Kia,K5 III,40000,2,150,2021,2580000,белый,автомат,передний,Бензин,Химки
Kia K5 LPi III,Kia,K5 LPi III,52000,2,146,2021,2680000,чёрный,автомат,передний,Газ,Санкт-Петербург
Kia K5 III,Kia,K5 III,35000,"1,5",170,2021,2410000,белый,робот,передний,Бензин,Москва
Hyundai Elantra N Line VII (CN7),Hyundai,Elantra N Line VII (CN7),11000,"1,6",204,2021,2120000,белый,механика,передний,Бензин,Москва
Hyundai Elantra VII (CN7),Hyundai,Elantra VII (CN7),27000,"1,6",128,2021,2220000,серый,автомат,передний,Бензин,Москва
Kia K5 LPi III,Kia,K5 LPi III,12000,2,146,2021,2380000,синий,автомат,передний,Газ,Москва
Hyundai Solaris II,Hyundai,Solaris II,128000,"1,4",100,2018,1090000,чёрный,автомат,передний,Бензин,Санкт-Петербург
Kia K5 III,Kia,K5 III,105000,"1,6",180,2020,2120000,чёрный,автомат,полный,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,86000,"1,4",100,2018,1340000,белый,автомат,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,144000,"1,4",100,2017,1080000,белый,механика,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,60000,2,240,2021,2470000,чёрный,автомат,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,50000,"1,4",100,2018,1400000,чёрный,автомат,передний,Бензин,Москва
Kia K5 LPi III,Kia,K5 LPi III,27000,2,146,2021,2930000,синий,автомат,передний,Газ,Москва
Hyundai Solaris II,Hyundai,Solaris II,45000,"1,6",123,2019,1100000,голубой,автомат,передний,Бензин,Химки
Hyundai Solaris II,Hyundai,Solaris II,189000,"1,4",100,2017,860000,серебристый,механика,передний,Бензин,Владимир
Hyundai Solaris II,Hyundai,Solaris II,41000,"1,6",123,2018,1270000,белый,механика,передний,Бензин,Владимир
Kia K5 III,Kia,K5 III,30000,"2,5",194,2021,2240000,белый,автомат,передний,Бензин,Санкт-Петербург
Kia K5 III,Kia,K5 III,29000,2,195,2020,2550000,чёрный,автомат,передний,Гибрид,Москва
Hyundai Solaris II,Hyundai,Solaris II,78000,"1,6",123,2019,1370000,коричневый,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,30000,"1,6",180,2021,2640000,синий,автомат,полный,Бензин,Санкт-Петербург
Kia K5 III,Kia,K5 III,63000,2,240,2020,2450000,чёрный,автомат,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,58000,"1,6",123,2019,1400000,белый,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,33000,"1,6",180,2020,2610000,серый,автомат,полный,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,82000,"1,4",100,2017,1140000,чёрный,механика,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,2000,"1,5",170,2022,2570000,красный,робот,передний,Бензин,Москва
Kia Cerato IV,Kia,Cerato IV,26000,"1,6",128,2020,1930000,белый,автомат,передний,Бензин,Санкт-Петербург
Kia K5 III,Kia,K5 III,57000,2,195,2020,2630000,белый,автомат,передний,Гибрид,Москва
Hyundai Solaris II,Hyundai,Solaris II,82000,"1,4",100,2018,1190000,серый,механика,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,50000,2,195,2020,2130000,серебристый,автомат,передний,Гибрид,Москва
Kia K5 III,Kia,K5 III,47000,"2,5",194,2021,2520000,белый,автомат,передний,Бензин,Химки
Hyundai Solaris II,Hyundai,Solaris II,82000,"1,4",100,2018,1170000,бежевый,механика,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,82000,"1,4",100,2018,1170000,бежевый,механика,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,66000,"1,4",100,2017,1270000,белый,механика,передний,Бензин,Химки
Hyundai Solaris II,Hyundai,Solaris II,54000,"1,4",100,2018,1130000,коричневый,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,93000,"1,5",170,2021,2270000,белый,робот,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,57000,"1,6",180,2021,2290000,серый,автомат,полный,Бензин,Москва
Kia K5 LPi III,Kia,K5 LPi III,58000,2,146,2020,2180000,белый,автомат,передний,Газ,Москва
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,64000,"2,5",253,2020,2390000,чёрный,автомат,передний,Бензин,Санкт-Петербург
Kia Cerato IV,Kia,Cerato IV,87000,"1,6",128,2020,1710000,синий,автомат,передний,Бензин,Санкт-Петербург
Hyundai Solaris II,Hyundai,Solaris II,50000,"1,4",100,2018,1290000,белый,автомат,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,101000,"1,6",123,2017,1150000,красный,механика,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,7000,"1,6",180,2022,2540000,чёрный,автомат,полный,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,67000,"1,6",123,2019,1240000,коричневый,автомат,передний,Бензин,Подольск
Kia K5 III,Kia,K5 III,100000,2,240,2020,1950000,серебристый,автомат,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,75000,"1,4",100,2018,1210000,коричневый,механика,передний,Бензин,Санкт-Петербург
Kia Cerato IV,Kia,Cerato IV,88000,"1,6",128,2019,1690000,белый,механика,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,153000,"1,5",170,2020,2030000,чёрный,робот,передний,Бензин,Санкт-Петербург
Kia K5 III,Kia,K5 III,20000,"1,5",170,2020,2040000,белый,робот,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,27000,"1,4",100,2018,1380000,серебристый,автомат,передний,Бензин,Москва
Hyundai Elantra VII (CN7),Hyundai,Elantra VII (CN7),57000,"1,5",115,2021,2000000,серый,вариатор,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,36000,2,195,2021,2500000,синий,автомат,передний,Гибрид,Химки
Kia K5 III,Kia,K5 III,32000,2,150,2021,2450000,белый,автомат,передний,Бензин,Москва
Hyundai Elantra VII (CN7),Hyundai,Elantra VII (CN7),8000,"1,5",115,2021,1770000,голубой,вариатор,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,92000,2,195,2020,2150000,синий,автомат,передний,Гибрид,Санкт-Петербург
Hyundai Solaris II,Hyundai,Solaris II,15000,"1,6",123,2018,1350000,коричневый,механика,передний,Бензин,Санкт-Петербург
"Mercedes-Benz CLA 200 II (C118, X118)",Mercedes-Benz,"CLA 200 II (C118, X118)",1000,"1,3",150,2022,3990000,красный,робот,передний,Бензин,Нижний Новгород
Hyundai Solaris II,Hyundai,Solaris II,133000,"1,6",123,2017,1010000,красный,механика,передний,Бензин,Санкт-Петербург
Hyundai Solaris II,Hyundai,Solaris II,55000,"1,6",123,2019,1430000,серебристый,механика,передний,Бензин,Химки
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,43000,"2,5",231,2019,2120000,красный,автомат,передний,Бензин,Москва
Kia Cerato IV,Kia,Cerato IV,40000,"1,6",128,2021,1880000,чёрный,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,42000,"2,5",194,2019,2250000,белый,автомат,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,82000,"1,4",100,2018,1170000,бежевый,механика,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,29000,2,160,2021,2810000,синий,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,45000,"1,5",170,2021,2340000,белый,робот,передний,Бензин,Москва
Mazda 6 Atenza III (GJ) Рестайлинг 2,Mazda,6 Atenza III (GJ) Рестайлинг 2,6000,"2,5",192,2022,2750000,серый,автомат,передний,Бензин,Москва
Kia K5 LPi III,Kia,K5 LPi III,40000,2,146,2020,2380000,чёрный,автомат,передний,Газ,Химки
Hyundai Solaris II,Hyundai,Solaris II,61000,"1,6",123,2017,1150000,синий,автомат,передний,Бензин,Москва
"Mercedes-Benz CLA 200 II (C118, X118)",Mercedes-Benz,"CLA 200 II (C118, X118)",48000,"1,3",150,2019,2650000,серебристый,робот,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,79000,"1,6",180,2020,2420000,серый,автомат,полный,Бензин,Санкт-Петербург
Kia K5 III,Kia,K5 III,23000,2,150,2021,2830000,синий,автомат,передний,Бензин,Калининград
Kia K5 III,Kia,K5 III,43000,"1,6",180,2020,2980000,белый,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,34000,"2,5",194,2020,2730000,белый,автомат,передний,Бензин,Калининград
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,1000,"2,5",190,2022,2830000,белый,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,23000,2,150,2021,2610000,синий,автомат,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,58000,"1,4",100,2018,1090000,серый,механика,передний,Бензин,Красноярск
Hyundai Solaris II,Hyundai,Solaris II,102000,"1,6",123,2017,970000,чёрный,механика,передний,Бензин,Санкт-Петербург
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,110000,"2,5",194,2020,2450000,чёрный,автомат,передний,Бензин,Красноярск
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,11000,2,165,2021,2970000,серый,механика,передний,Бензин,Иркутск
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,55000,"2,5",190,2019,2450000,красный,механика,передний,Бензин,Санкт-Петербург
Kia K5 III,Kia,K5 III,34000,"1,6",180,2020,2480000,чёрный,автомат,полный,Бензин,Минеральные Воды
Kia K5 III,Kia,K5 III,63000,2,150,2020,3030000,синий,автомат,передний,Бензин,Москва
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,79000,2,150,2020,2800000,чёрный,автомат,передний,Бензин,Санкт-Петербург
Kia Cerato IV,Kia,Cerato IV,70000,2,150,2019,1770000,серый,автомат,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,69000,"1,6",123,2018,1440000,белый,механика,передний,Бензин,Москва
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,30000,2,150,2021,2730000,белый,автомат,передний,Бензин,Санкт-Петербург
Hyundai Solaris II,Hyundai,Solaris II,102000,"1,6",123,2017,880000,серебристый,автомат,передний,Бензин,Краснодар
Hyundai Solaris II,Hyundai,Solaris II,72000,"1,4",100,2019,1210000,серебристый,механика,передний,Бензин,Парголово
Hyundai Solaris II,Hyundai,Solaris II,88000,"1,6",123,2019,1190000,красный,механика,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,287000,"1,4",100,2017,950000,белый,автомат,передний,Бензин,Москва
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,68000,2,165,2020,2380000,серый,автомат,передний,Бензин,Мытищи
Kia K5 III,Kia,K5 III,77000,"2,5",194,2020,2440000,белый,автомат,передний,Бензин,Мытищи
Kia Cerato IV,Kia,Cerato IV,22000,"1,6",128,2021,2510000,синий,автомат,передний,Бензин,Москва
"Mercedes-Benz CLA 220 II (C118, X118)",Mercedes-Benz,"CLA 220 II (C118, X118)",2000,2,190,2022,5360000,серый,робот,передний,Бензин,Краснодар
Hyundai Solaris II,Hyundai,Solaris II,27000,"1,4",100,2017,1420000,белый,механика,передний,Бензин,Воронеж
Hyundai Solaris II,Hyundai,Solaris II,122000,"1,6",123,2017,850000,чёрный,автомат,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,56000,"1,4",100,2019,1290000,белый,автомат,передний,Бензин,Иркутск
Kia Cerato IV,Kia,Cerato IV,53000,"1,6",128,2020,1920000,синий,механика,передний,Бензин,Сыктывкар
Hyundai Solaris II,Hyundai,Solaris II,138000,"1,4",100,2019,1190000,синий,механика,передний,Бензин,Серов
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,47000,"2,5",231,2021,3650000,белый,автомат,передний,Бензин,Москва
Hyundai Elantra VII (CN7),Hyundai,Elantra VII (CN7),1000,"1,6",128,2023,2450000,серый,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,38000,"2,5",194,2020,3120000,белый,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,9000,2,150,2021,3390000,чёрный,автомат,передний,Бензин,Тюмень
Kia K5 III,Kia,K5 III,30000,"1,6",180,2021,2730000,серый,автомат,передний,Бензин,Белгород
Kia Cerato IV,Kia,Cerato IV,44000,"1,6",128,2020,2100000,белый,механика,передний,Бензин,Уфа
Kia Cerato IV,Kia,Cerato IV,33000,"1,6",128,2018,1960000,серебристый,механика,передний,Бензин,Коляново
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,1000,"2,5",231,2021,4100000,серый,автомат,передний,Бензин,Москва
Kia K5 III,Kia,K5 III,62000,"2,5",194,2020,2680000,белый,автомат,передний,Бензин,Архангельск
Hyundai Solaris II,Hyundai,Solaris II,49000,"1,4",100,2019,1430000,серебристый,автомат,передний,Бензин,Казань
Mazda 6 Atenza III (GJ) Рестайлинг 2,Mazda,6 Atenza III (GJ) Рестайлинг 2,1000,2,158,2022,3430000,белый,автомат,передний,Бензин,Сочи
Hyundai Solaris II,Hyundai,Solaris II,119000,"1,6",123,2019,1000000,серый,автомат,передний,Бензин,Санкт-Петербург
Hyundai Solaris II,Hyundai,Solaris II,90000,"1,6",123,2019,1070000,белый,механика,передний,Бензин,Санкт-Петербург
Hyundai Solaris II,Hyundai,Solaris II,119000,"1,4",100,2017,900000,белый,автомат,передний,Бензин,Стерлитамак
Kia K5 III,Kia,K5 III,29000,2,150,2020,3030000,серый,автомат,передний,Бензин,Челябинск
Hyundai Solaris II,Hyundai,Solaris II,20000,"1,6",123,2017,1320000,красный,автомат,передний,Бензин,Москва
Kia Cerato IV,Kia,Cerato IV,82000,"1,6",128,2019,1730000,белый,автомат,передний,Бензин,Краснодар
Hyundai Solaris II,Hyundai,Solaris II,27000,"1,4",100,2017,1420000,белый,механика,передний,Бензин,Воронеж
Hyundai Solaris II,Hyundai,Solaris II,22000,"1,4",100,2019,1420000,красный,механика,передний,Бензин,Новосибирск
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,6000,2,150,2021,2750000,чёрный,автомат,передний,Бензин,Санкт-Петербург
Hyundai Solaris II,Hyundai,Solaris II,79000,"1,6",123,2017,1060000,серебристый,автомат,передний,Бензин,Санкт-Петербург
Kia K5 III,Kia,K5 III,53000,"2,5",194,2021,2800000,синий,автомат,передний,Бензин,Сургут
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,85000,2,150,2019,2100000,синий,автомат,передний,Бензин,Санкт-Петербург
Hyundai Solaris II,Hyundai,Solaris II,94000,"1,4",100,2018,1300000,синий,автомат,передний,Бензин,Москва
Kia Cerato IV,Kia,Cerato IV,73000,2,150,2020,1900000,белый,автомат,передний,Бензин,Москва
Hyundai Solaris II,Hyundai,Solaris II,104000,"1,4",100,2017,1170000,синий,автомат,передний,Бензин,Москва
Kia Cerato IV,Kia,Cerato IV,124000,"1,6",128,2019,1520000,чёрный,автомат,передний,Бензин,Санкт-Петербург
Kia Cerato IV,Kia,Cerato IV,59000,2,150,2020,1220000,чёрный,автомат,передний,Бензин,Новосибирск
Hyundai Solaris II,Hyundai,Solaris II,108000,"1,6",123,2018,1140000,белый,механика,передний,Бензин,Оренбург
Mazda 6 III (GJ) Рестайлинг 2,Mazda,6 III (GJ) Рестайлинг 2,26000,"2,5",253,2021,2380000,чёрный,автомат,передний,Бензин,Москва
Kia Cerato IV,Kia,Cerato IV,46000,"1,6",128,2018,1770000,чёрный,механика,передний,Бензин,Сызрань
Hyundai Solaris II,Hyundai,Solaris II,254000,"1,4",100,2019,1140000,серый,механика,передний,Бензин,Москва
Kia Cerato IV,Kia,Cerato IV,103000,"1,6",128,2019,1700000,белый,механика,передний,Бензин,Ульяновск
Kia K5 III,Kia,K5 III,21000,"2,5",194,2021,3330000,серый,автомат,передний,Бензин,Санкт-Петербург
Hyundai Solaris II,Hyundai,Solaris II,74000,"1,4",100,2018,1050000,серый,механика,передний,Бензин,Тюмень
Hyundai Solaris II,Hyundai,Solaris II,105000,"1,4",100,2019,1100000,серебристый,автомат,передний,Бензин,Санкт-Петербург
Kia Cerato IV,Kia,Cerato IV,115000,"1,6",128,2019,1570000,синий,механика,передний,Бензин,Мурманск
